,adjusted close,close,high,low,open,volume
1998-01-02,31.4145,48.88,49.81,48.13,49.5,2761300.0
1998-01-05,31.2538,48.63,49.75,48.19,48.94,3816100.0
1998-01-06,30.7718,47.88,48.94,47.5,48.06,4050900.0
1998-01-07,30.9324,48.13,48.13,47.38,47.5,3230600.0
1998-01-08,29.8077,46.38,47.56,46.0,47.5,6732800.0
1998-01-09,29.0044,45.13,46.44,45.0,46.31,4708500.0
1998-01-12,29.1651,45.38,45.56,43.94,44.5,4064500.0
1998-01-13,28.9594,45.06,46.19,44.69,45.75,3722700.0
1998-01-14,29.7242,46.25,46.25,45.13,45.75,3398400.0
1998-01-15,28.3617,44.13,45.56,44.13,45.5,5409100.0
1998-01-16,27.9182,43.44,44.63,43.0,44.25,11645700.0
1998-01-20,27.9568,43.5,44.25,42.81,43.94,7730300.0
1998-01-21,28.2781,44.0,44.63,43.06,43.88,5895800.0
1998-01-22,29.0815,45.25,45.63,44.06,44.19,6578900.0
1998-01-23,28.4774,44.31,45.69,44.25,45.25,4566600.0
1998-01-26,28.5609,44.44,45.0,44.06,44.88,2783600.0
1998-01-27,28.9208,45.0,45.25,44.0,44.06,3596600.0
1998-01-28,30.2448,47.06,47.44,45.19,45.5,5464000.0
1998-01-29,30.5275,47.5,48.19,47.25,47.69,4830400.0
1998-01-30,30.6111,47.63,48.13,47.31,48.0,3066400.0
1998-02-02,31.0481,48.31,48.88,48.06,48.06,3850300.0
1998-02-03,31.0481,48.31,48.63,48.06,48.38,3081700.0
1998-02-04,30.489,47.44,48.25,47.31,48.13,3659600.0
1998-02-05,30.0841,46.81,47.88,46.06,47.63,4183500.0
1998-02-06,29.8463,46.44,46.94,46.31,46.81,2808000.0
1998-02-09,29.8077,46.38,47.25,46.38,46.94,3156500.0
1998-02-10,31.2538,48.63,48.88,46.63,46.94,5252000.0
1998-02-11,31.7037,49.19,49.31,48.5,48.56,4367900.0
1998-02-12,31.7423,49.25,49.44,48.5,49.13,3043600.0
1998-02-13,32.4706,50.38,50.75,48.56,48.75,4985900.0
1998-02-17,33.837,52.5,52.75,50.94,51.0,7416300.0
1998-02-18,33.3536,51.75,52.19,51.31,51.63,3700200.0
1998-02-19,32.7478,50.81,51.63,50.25,51.5,4816900.0
1998-02-20,32.3095,50.13,50.75,49.94,50.75,4432000.0
1998-02-23,32.6704,50.69,50.94,50.25,50.44,3165400.0
1998-02-24,32.4255,50.31,50.75,49.06,50.69,3105700.0
1998-02-25,33.0314,51.25,51.75,50.38,50.38,4188400.0
1998-02-26,34.7651,53.94,53.94,51.25,51.31,6629900.0
1998-02-27,34.9649,54.25,54.75,53.5,53.75,5533700.0
1998-03-02,33.9981,52.75,54.25,52.5,54.25,4099800.0
1998-03-03,33.7597,52.38,53.38,52.06,53.0,3489300.0
1998-03-04,34.3591,53.31,53.69,51.5,52.0,4055300.0
1998-03-05,33.6759,52.25,52.81,51.94,52.06,3356300.0
1998-03-06,33.7983,52.44,53.19,52.31,52.75,2231100.0
1998-03-09,33.8757,52.56,53.06,52.0,52.31,2073700.0
1998-03-10,33.7597,52.38,53.06,52.06,52.69,1897400.0
1998-03-11,33.6372,52.19,52.63,52.13,52.38,2351400.0
1998-03-12,33.1925,51.5,52.25,50.19,52.13,2579700.0
1998-03-13,33.3923,51.81,52.38,51.56,51.69,2544700.0
1998-03-16,33.1538,51.44,52.88,51.19,51.56,2645900.0
1998-03-17,33.5147,52.0,52.63,51.69,52.5,2643400.0
1998-03-18,32.7929,50.88,52.25,50.88,51.75,3661600.0
1998-03-19,33.1538,51.44,51.63,50.56,51.0,3254700.0
1998-03-20,34.4428,53.44,53.44,51.94,52.06,6339200.0
1998-03-23,33.2763,51.63,52.5,51.44,52.0,4640400.0
1998-03-24,33.7597,52.38,52.69,51.63,51.63,3429300.0
1998-03-25,34.0819,52.88,52.94,52.06,52.94,4618300.0
1998-03-26,33.5985,52.13,52.63,51.5,52.25,3229100.0
1998-03-27,33.0314,51.25,52.63,51.13,52.63,2912900.0
1998-03-30,32.548,50.5,51.06,50.25,50.94,2608100.0
1998-03-31,33.5985,52.13,52.25,50.56,50.56,3792100.0
1998-04-01,33.9981,52.75,52.88,51.81,52.38,3869000.0
1998-04-02,35.4096,54.94,55.0,52.25,52.5,6873800.0
1998-04-03,35.4096,54.94,55.88,54.25,55.0,6328600.0
1998-04-06,36.1315,56.06,56.19,55.25,55.94,5509600.0
1998-04-07,35.8543,55.63,56.25,55.44,56.0,4022300.0
1998-04-08,35.6094,55.25,55.88,54.81,55.0,4386300.0
1998-04-09,35.5707,55.19,55.63,54.5,54.56,3547700.0
1998-04-13,34.5653,53.63,54.88,52.56,54.56,5075300.0
1998-04-14,34.243,53.13,53.63,52.94,53.19,3113200.0
1998-04-15,33.8757,52.56,53.44,52.5,53.19,3336100.0
1998-04-16,34.1593,53.0,53.56,52.06,52.75,3005600.0
1998-04-17,34.604,53.69,53.88,52.81,53.0,3597400.0
1998-04-20,34.3204,53.25,53.56,52.88,53.0,2388200.0
1998-04-21,34.1979,53.06,53.06,52.5,53.0,2982500.0
1998-04-22,34.1593,53.0,53.44,52.69,52.75,3105700.0
1998-04-23,33.1925,51.5,52.38,51.25,51.88,5830200.0
1998-04-24,32.6704,50.69,51.19,50.38,50.75,4193000.0
1998-04-27,32.3868,50.25,50.25,48.38,49.94,5656400.0
1998-04-28,32.0259,49.69,50.31,49.5,50.25,3045800.0
1998-04-29,32.2644,50.06,50.44,49.75,49.75,2323500.0
1998-04-30,32.2644,50.06,50.94,50.06,50.5,3025700.0
1998-05-01,33.3536,51.75,52.38,51.19,51.94,3191100.0
1998-05-04,32.954,51.13,52.31,51.06,51.56,2046700.0
1998-05-05,32.8316,50.94,51.75,50.69,51.13,1687700.0
1998-05-06,32.4255,50.31,50.69,50.06,50.25,2138300.0
1998-05-07,32.1484,49.88,50.38,49.5,50.06,2299200.0
1998-05-08,32.548,50.5,50.88,49.63,49.63,1866700.0
1998-05-11,31.9872,49.63,50.63,49.0,50.44,2396500.0
1998-05-12,31.9035,49.5,50.31,49.19,49.88,2857300.0
1998-05-13,32.1548,49.75,50.19,49.06,49.06,2246300.0
1998-05-14,32.2388,49.88,50.13,49.5,49.88,1959200.0
1998-05-15,32.0773,49.63,49.88,49.44,49.88,2070700.0
1998-05-18,31.4309,48.63,49.38,48.06,49.19,3885500.0
1998-05-19,31.2694,48.38,49.13,48.13,48.75,2161700.0
1998-05-20,31.0237,48.0,48.06,48.0,48.06,3393700.0
1998-05-21,31.1465,48.19,48.38,47.63,48.13,3282800.0
1998-05-22,31.2694,48.38,48.88,48.13,48.13,1403000.0
1998-05-26,30.539,47.25,48.69,47.19,48.44,2523900.0
1998-05-27,30.0543,46.5,46.81,45.25,46.0,6231600.0
1998-05-28,30.2999,46.88,47.5,45.75,46.25,4718300.0
1998-05-29,30.8622,47.75,47.94,47.13,47.13,2842900.0
1998-06-01,30.7846,47.63,47.75,47.13,47.5,2216900.0
1998-06-02,29.6535,45.88,47.56,45.63,47.5,3891300.0
1998-06-03,29.6535,45.88,46.38,45.31,45.31,4171300.0
1998-06-04,29.1235,45.06,45.81,45.0,45.63,4740900.0
1998-06-05,29.4079,45.5,45.69,45.13,45.13,3782500.0
1998-06-08,29.5695,45.75,46.25,45.44,45.63,2963300.0
1998-06-09,29.7311,46.0,46.38,45.81,46.0,3338300.0
1998-06-10,29.3691,45.44,45.94,45.0,45.94,3948700.0
1998-06-11,29.1235,45.06,45.56,45.0,45.44,3272300.0
1998-06-12,29.046,44.94,45.13,44.25,45.06,4826200.0
1998-06-15,28.1153,43.5,44.38,43.38,44.06,3866000.0
1998-06-16,28.0765,43.44,44.19,42.94,43.63,5026500.0
1998-06-17,28.2769,43.75,44.56,43.5,43.5,3733700.0
1998-06-18,28.3997,43.94,44.25,43.25,44.0,3247900.0
1998-06-19,27.7533,42.94,43.88,42.56,43.81,5569000.0
1998-06-22,27.6305,42.75,43.94,42.13,42.88,3343500.0
1998-06-23,28.0377,43.38,43.44,42.75,42.75,3964100.0
1998-06-24,28.8844,44.69,44.69,43.31,43.56,3662500.0
1998-06-25,28.8456,44.63,45.5,44.56,44.75,3365000.0
1998-06-26,29.5307,45.69,46.13,45.13,45.19,2761500.0
1998-06-29,28.8456,44.63,45.75,44.38,45.69,3031700.0
1998-06-30,28.8004,44.56,45.0,44.13,44.56,2594700.0
1998-07-01,30.6618,47.44,47.5,45.25,45.25,5321700.0
1998-07-02,31.3081,48.44,49.25,47.06,47.44,5158100.0
1998-07-06,31.4309,48.63,49.44,48.56,49.25,3234200.0
1998-07-07,30.9009,47.81,49.25,47.69,49.25,2810700.0
1998-07-08,31.4697,48.69,48.75,47.81,47.94,2396000.0
1998-07-09,31.0625,48.06,48.69,47.88,48.44,1716700.0
1998-07-10,30.9462,47.88,48.38,47.13,48.06,1993500.0
1998-07-13,30.7394,47.56,48.44,47.19,48.44,1990500.0
1998-07-14,31.3469,48.5,48.69,47.31,47.31,2787600.0
1998-07-15,31.8704,49.31,49.69,48.63,48.94,4386300.0
1998-07-16,31.5085,48.75,49.69,48.5,49.44,2887500.0
1998-07-17,32.3164,50.0,50.13,48.69,48.94,3247600.0
1998-07-20,31.8317,49.25,50.0,48.63,49.69,2741400.0
1998-07-21,31.1465,48.19,49.25,47.63,49.0,3586000.0
1998-07-22,30.8622,47.75,48.44,47.44,47.5,2888100.0
1998-07-23,26.6223,41.19,44.0,40.06,43.5,27589500.0
1998-07-24,26.0535,40.31,42.13,40.0,41.5,13116500.0
1998-07-27,25.2068,39.0,40.25,37.94,40.25,12854200.0
1998-07-28,25.2068,39.0,39.25,38.63,38.88,9369800.0
1998-07-29,25.0452,38.75,39.38,38.56,39.0,7578000.0
1998-07-30,25.2908,39.13,39.44,39.0,39.25,5497700.0
1998-07-31,25.084,38.81,39.25,38.75,39.0,6369400.0
1998-08-03,24.4829,37.88,38.69,37.81,38.56,5944200.0
1998-08-04,23.8366,36.88,38.38,36.75,38.25,6537200.0
1998-08-05,23.591,36.5,38.0,36.06,37.13,6621700.0
1998-08-06,23.9529,37.06,37.19,36.06,36.5,5701300.0
1998-08-07,25.3684,39.25,39.44,36.81,37.0,12764300.0
1998-08-10,25.3684,39.25,39.38,38.25,38.75,5927300.0
1998-08-11,24.5605,38.0,38.5,37.25,38.0,5340100.0
1998-08-12,24.8966,38.38,38.63,37.69,38.19,5168100.0
1998-08-13,24.1246,37.19,38.75,37.13,38.63,5264100.0
1998-08-14,23.8781,36.81,37.75,36.31,37.56,4811200.0
1998-08-17,23.9624,36.94,37.13,36.06,36.25,3425800.0
1998-08-18,24.3646,37.56,37.94,37.0,37.19,3628100.0
1998-08-19,23.8392,36.75,37.75,36.56,37.75,3916300.0
1998-08-20,23.5538,36.31,36.63,36.06,36.5,4070500.0
1998-08-21,23.5992,36.38,36.44,35.81,36.06,3533800.0
1998-08-24,23.1516,35.69,36.81,35.5,36.38,4131800.0
1998-08-25,22.9505,35.38,36.38,35.13,35.69,4105300.0
1998-08-26,23.0283,35.5,35.63,35.0,35.31,3528300.0
1998-08-27,22.704,35.0,35.44,34.25,35.13,4723800.0
1998-08-28,22.0164,33.94,35.25,33.5,35.0,4223500.0
1998-08-31,20.0703,30.94,34.19,29.0,34.0,6486200.0
1998-09-01,21.4455,33.06,33.94,32.13,33.25,15698200.0
1998-09-02,22.0553,34.0,34.44,33.56,34.25,8434200.0
1998-09-03,22.4186,34.56,34.56,33.06,33.5,6228900.0
1998-09-04,22.0164,33.94,35.0,33.81,34.88,3880800.0
1998-09-08,23.4759,36.19,37.75,35.5,37.75,4994100.0
1998-09-09,22.8662,35.25,36.19,35.06,36.06,4004300.0
1998-09-10,21.9775,33.88,34.56,33.63,34.5,4718300.0
1998-09-11,22.0553,34.0,34.06,33.56,33.63,4035200.0
1998-09-14,22.3018,34.38,34.75,34.06,34.19,3756900.0
1998-09-15,22.2175,34.25,34.94,34.13,34.13,3785000.0
1998-09-16,22.3797,34.5,34.69,34.0,34.25,5677100.0
1998-09-17,22.0942,34.06,34.38,33.56,34.0,3066700.0
1998-09-18,22.3407,34.44,34.63,34.19,34.44,3619000.0
1998-09-21,22.0553,34.0,34.75,33.88,34.38,3469000.0
1998-09-22,22.1786,34.19,34.63,34.0,34.25,3439900.0
1998-09-23,21.9321,33.81,34.69,33.69,34.38,7053800.0
1998-09-24,22.3797,34.5,34.5,33.69,33.75,3805200.0
1998-09-25,22.5029,34.69,34.94,34.13,34.44,2180000.0
1998-09-28,22.6651,34.94,35.38,34.75,34.94,3180000.0
1998-09-29,23.0673,35.56,35.94,34.75,34.94,2519100.0
1998-09-30,22.2564,34.31,36.25,34.31,35.13,3869700.0
1998-10-01,20.959,32.31,34.31,32.25,33.94,4304000.0
1998-10-02,21.1212,32.56,32.94,31.75,32.44,4589900.0
1998-10-05,21.5688,33.25,33.5,31.56,32.13,3027100.0
1998-10-06,21.3677,32.94,33.5,32.63,33.5,2942400.0
1998-10-07,20.8423,32.13,33.0,31.38,32.94,3290600.0
1998-10-08,20.0314,30.88,31.81,29.5,31.06,5766100.0
1998-10-09,20.7579,32.0,32.13,31.19,31.75,3823000.0
1998-10-12,21.491,33.13,33.44,32.75,33.0,3521000.0
1998-10-13,21.6531,33.38,33.5,32.94,33.06,3637000.0
1998-10-14,21.731,33.5,34.0,33.19,33.5,2980200.0
1998-10-15,22.0164,33.94,34.38,32.5,33.06,2764000.0
1998-10-16,20.9201,32.25,34.88,31.75,34.88,5088500.0
1998-10-19,22.3407,34.44,34.56,32.56,32.69,4619200.0
1998-10-20,23.3138,35.94,36.31,34.81,34.94,5357700.0
1998-10-21,23.3527,36.0,36.38,35.06,36.0,3382900.0
1998-10-22,23.6381,36.44,37.5,36.0,36.25,5217900.0
1998-10-23,23.1516,35.69,36.81,35.19,36.63,3504900.0
1998-10-26,22.7883,35.13,36.0,35.06,36.0,2241000.0
1998-10-27,23.0283,35.5,35.81,35.19,35.25,2404200.0
1998-10-28,23.3138,35.94,36.5,35.56,35.63,3326400.0
1998-10-29,23.5149,36.25,36.5,35.19,35.19,2882000.0
1998-10-30,24.3646,37.56,37.88,36.44,36.63,4298400.0
1998-11-02,26.7972,41.31,41.38,37.81,38.13,7983400.0
1998-11-03,26.7972,41.31,41.81,40.13,41.0,5115500.0
1998-11-04,26.5572,40.94,42.44,40.38,41.5,5144800.0
1998-11-05,26.5572,40.94,41.25,39.31,40.0,5554700.0
1998-11-06,27.167,41.88,42.25,40.44,40.63,4334300.0
1998-11-09,27.6081,42.56,42.75,41.31,41.56,3803100.0
1998-11-10,26.8102,41.19,42.25,41.19,41.63,4064800.0
1998-11-11,27.012,41.5,41.88,41.31,41.31,3042800.0
1998-11-12,26.9729,41.44,41.88,41.0,41.0,2596500.0
1998-11-13,27.422,42.13,42.38,41.31,41.38,2912900.0
1998-11-16,27.8256,42.75,42.75,42.13,42.13,3570000.0
1998-11-17,27.8256,42.75,42.94,42.19,42.75,3992000.0
1998-11-18,27.8646,42.81,42.81,42.06,42.75,3023200.0
1998-11-19,28.0729,43.13,43.19,42.56,42.81,2735200.0
1998-11-20,28.3528,43.56,43.56,43.13,43.31,2974900.0
1998-11-23,28.5155,43.81,44.0,43.19,43.19,3508300.0
1998-11-24,27.5001,42.25,43.75,42.25,43.13,2975800.0
1998-11-25,27.8256,42.75,42.81,41.06,42.25,2578600.0
1998-11-27,26.9729,41.44,42.0,41.19,41.5,1660000.0
1998-11-30,26.4457,40.63,41.25,40.06,40.75,3757300.0
1998-12-01,26.283,40.38,40.69,39.5,39.5,3711900.0
1998-12-02,21.9285,33.69,34.88,32.5,33.0,36727200.0
1998-12-03,20.7504,31.88,33.81,31.5,33.69,17352300.0
1998-12-04,21.4403,32.94,33.38,32.25,32.69,9623900.0
1998-12-07,22.6184,34.75,34.88,33.25,34.75,8053700.0
1998-12-08,22.4167,34.44,34.75,34.06,34.56,6137200.0
1998-12-09,22.4948,34.56,34.88,34.0,34.88,5614600.0
1998-12-10,22.1693,34.06,34.63,34.0,34.56,4428600.0
1998-12-11,21.564,33.13,34.19,33.0,33.69,5135400.0
1998-12-14,21.8439,33.56,34.44,33.06,33.25,5463800.0
1998-12-15,21.6812,33.31,34.13,32.69,34.13,4951800.0
1998-12-16,20.9066,32.12,33.0,31.88,33.0,6401100.0
1998-12-17,20.7894,31.94,32.69,31.63,32.31,5301800.0
1998-12-18,20.6658,31.75,31.94,31.5,31.81,5111600.0
1998-12-21,20.6658,31.75,32.19,31.63,31.81,5886500.0
1998-12-22,20.7048,31.81,32.06,31.56,31.69,5419800.0
1998-12-23,20.7504,31.88,32.13,31.56,31.75,4874000.0
1998-12-24,20.9912,32.25,32.94,31.75,31.88,2798700.0
1998-12-28,21.1539,32.5,32.5,32.06,32.44,4957900.0
1998-12-29,20.8675,32.06,32.38,32.0,32.25,4290500.0
1998-12-30,20.7048,31.81,32.06,31.0,32.0,4284700.0
1998-12-31,21.2386,32.63,33.13,31.63,31.75,7343500.0
1999-01-04,21.4403,32.94,33.56,32.81,33.31,6610200.0
1999-01-05,22.9439,35.25,35.38,33.5,33.5,8202900.0
1999-01-06,23.4711,36.06,36.5,35.75,35.94,8631400.0
1999-01-07,23.3084,35.81,35.94,35.13,35.38,4039000.0
1999-01-08,23.3084,35.81,36.75,35.56,35.81,4381200.0
1999-01-11,22.8658,35.13,35.88,34.88,35.81,3920800.0
1999-01-12,22.1693,34.06,34.88,34.0,34.88,3577500.0
1999-01-13,21.9285,33.69,34.38,32.81,33.06,3922300.0
1999-01-14,21.8048,33.5,34.0,33.25,33.88,3127700.0
1999-01-15,21.9285,33.69,33.81,33.31,33.75,2754300.0
1999-01-19,21.7658,33.44,33.94,32.56,33.88,3834400.0
1999-01-20,22.29300000000001,34.25,34.63,32.75,33.38,4558800.0
1999-01-21,21.7267,33.38,34.75,33.19,33.88,3757300.0
